Tanggal,Daging Ayam Ras Segar,Daging Sapi Kualitas 1,Daging Sapi Kualitas 2
5/1/2024,"34,500","132,500","127,500"
5/2/2024,"35,500","132,500","127,500"
5/3/2024,"35,500","132,500","127,500"
5/6/2024,"36,500","132,500","127,500"
5/7/2024,"36,500","132,500","127,500"
5/8/2024,"37,000","132,500","127,500"
5/9/2024,"37,000","132,500","127,500"
5/10/2024,"37,000","132,500","127,500"
5/13/2024,"37,500","132,500","127,500"
5/14/2024,"38,500","132,500","127,500"
5/15/2024,"37,750","132,500","127,500"
5/16/2024,"36,750","132,500","127,500"
5/17/2024,"36,750","132,500","127,500"
5/20/2024,"35,500","132,500","127,500"
5/21/2024,"35,500","132,500","127,500"
5/22/2024,"35,000","132,500","127,500"
5/23/2024,"35,000","132,500","127,500"
5/24/2024,"35,000","132,500","127,500"
5/27/2024,"35,000","132,500","127,500"
5/28/2024,"35,000","132,500","127,500"
5/29/2024,"35,000","132,500","127,500"
5/30/2024,"34,250","132,500","127,500"
5/31/2024,"34,000","132,500","127,500"
6/3/2024,"34,000","132,500","127,500"
6/4/2024,"34,000","132,500","127,500"
6/5/2024,"34,000","132,500","127,500"
6/6/2024,"33,500","132,500","127,500"
6/7/2024,"33,500","132,500","127,500"
6/10/2024,"33,000","132,500","127,500"
6/11/2024,"33,000","132,500","127,500"
6/12/2024,"33,000","132,500","127,500"
6/13/2024,"33,000","132,500","127,500"
6/14/2024,"33,000","132,500","127,500"
6/17/2024,"33,000","132,500","127,500"
6/18/2024,"33,000","132,500","127,500"
6/19/2024,"33,000","132,500","127,500"
6/20/2024,"33,000","132,500","127,500"
6/21/2024,"33,000","132,500","127,500"
6/24/2024,"33,750","132,500","127,500"
6/25/2024,"33,750","132,500","127,500"
6/26/2024,"33,750","132,500","127,500"
6/27/2024,"34,500","132,500","127,500"
6/28/2024,"34,500","132,500","127,500"
7/1/2024,"34,500","132,500","127,500"
7/2/2024,"34,500","132,500","127,500"
7/3/2024,"33,500","132,500","127,500"
7/4/2024,"33,500","132,500","127,500"
7/5/2024,"33,500","132,500","127,500"
7/8/2024,"33,500","132,500","127,500"
7/9/2024,"33,500","132,500","127,500"
7/10/2024,"33,500","132,500","127,500"
7/11/2024,"33,500","132,500","127,500"
7/12/2024,"33,500","132,500","127,500"
7/15/2024,"34,500","132,500","127,500"
7/16/2024,"35,000","132,500","127,500"
7/17/2024,"35,000","132,500","127,500"
7/18/2024,"35,000","132,500","127,500"
7/19/2024,"35,000","132,500","127,500"
